latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
50.38331,-97.27089,487.06,1.2,1.09,2024-02-01,0854,Aqua,MODIS,100,6.1NRT,328.2,1731.41,N
50.40258,-97.26568,328.03,1.2,1.09,2024-02-01,0854,Aqua,MODIS,55,6.1NRT,307.09,37.59,N
50.36404,-97.2761,328.03,1.2,1.09,2024-02-01,0854,Aqua,MODIS,0,6.1NRT,306.02,36.51,N
50.34477,-97.2813,485.63,1.2,1.09,2024-02-01,0854,Aqua,MODIS,100,6.1NRT,327.68,1693.41,N
50.3255,-97.28649,327.74,1.2,1.09,2024-02-01,0854,Aqua,MODIS,0,6.1NRT,306.96,34.37,N
50.12242,-98.90086,327.97,1.38,1.16,2024-02-01,0854,Aqua,MODIS,97,6.1NRT,307.06,0,N
50.10177,-98.90562,487.34,1.38,1.16,2024-02-01,0854,Aqua,MODIS,100,6.1NRT,328.14,2133.17,N
50.08112,-98.91039,327.98,1.38,1.16,2024-02-01,0854,Aqua,MODIS,0,6.1NRT,305.99,43.87,N
50.06048,-98.9152,485.82,1.38,1.16,2024-02-01,0854,Aqua,MODIS,100,6.1NRT,327.61,2084.66,N
50.03983,-98.91998,327.7,1.38,1.16,2024-02-01,0854,Aqua,MODIS,0,6.1NRT,306.93,42.16,N
52.9846,-111.40636,335.7,1.01,1.01,2024-02-01,1806,Terra,MODIS,90,6.1NRT,277.96,41.9,D
52.98233,-111.39186,304.41,1.01,1.01,2024-02-01,1806,Terra,MODIS,59,6.1NRT,276.92,10.33,D
52.53819,-114.97704,304.37,1.05,1.02,2024-02-01,1808,Terra,MODIS,59,6.1NRT,273.96,11.54,D
50.26749,-112.8857,301.27,1.01,1,2024-02-01,1808,Terra,MODIS,46,6.1NRT,278.47,7.79,D
53.77331,-110.59593,310.08,1.64,1.26,2024-02-01,2004,Aqua,MODIS,60,6.1NRT,275.31,29.54,D
51.59069,-123.36554,334.85,1.07,1.03,2024-02-01,2142,Aqua,MODIS,78,6.1NRT,273.97,41.92,D
51.58883,-123.38049,364.74,1.07,1.03,2024-02-01,2142,Aqua,MODIS,94,6.1NRT,275.92,114.73,D
51.59981,-123.36825,312.46,1.07,1.03,2024-02-01,2142,Aqua,MODIS,60,6.1NRT,273.3,17.18,D
51.59794,-123.38322,372.69,1.07,1.03,2024-02-01,2142,Aqua,MODIS,75,6.1NRT,274.6,144.52,D
51.77864,-122.90934,313.15,1.03,1.01,2024-02-02,0518,Terra,MODIS,86,6.1NRT,271.87,17.77,N
60.22754,-109.18186,468.39,1.86,1.33,2024-02-02,0932,Aqua,MODIS,100,6.1NRT,327.58,0,N
53.10152,-114.3958,325,1.68,1.28,2024-02-02,1849,Terra,MODIS,83,6.1NRT,273.7,57.27,D
70.19867,-83.25598,327.72,2.07,1.4,2024-02-02,1912,Aqua,MODIS,97,6.1NRT,307.02,0,D
51.66402,-112.68764,303.31,1.01,1,2024-02-02,2044,Aqua,MODIS,56,6.1NRT,277.72,9.32,D
53.76174,-105.54903,348.52,1.51,1.21,2024-02-02,2046,Aqua,MODIS,95,6.1NRT,278.67,116.8,D
53.76371,-105.52646,313.58,1.51,1.21,2024-02-02,2046,Aqua,MODIS,74,6.1NRT,276.11,30.37,D
53.76775,-110.58385,306.76,1.04,1.02,2024-02-02,2046,Aqua,MODIS,64,6.1NRT,274.02,12.95,D
52.0087,-123.26212,310.43,1.01,1.01,2024-02-03,2127,Aqua,MODIS,57,6.1NRT,271.07,13.97,D
42.80386,-80.10003,300.06,1,1,2024-02-04,1849,Aqua,MODIS,19,6.1NRT,281.82,6.64,D
44.02003,-78.12815,308.51,1.06,1.03,2024-02-06,1834,Aqua,MODIS,63,6.1NRT,276.48,13.51,D
45.6043,-79.42251,301.43,1.11,1.05,2024-02-06,1834,Aqua,MODIS,0,6.1NRT,273.93,10.61,D
50.3211,-120.45638,306.82,1.04,1.02,2024-02-07,0525,Terra,MODIS,39,6.1NRT,269.15,13.3,N
50.57647,-120.48093,305.24,1.04,1.02,2024-02-07,0525,Terra,MODIS,36,6.1NRT,267.09,12.49,N
42.80426,-80.09801,300.12,1.54,1.22,2024-02-07,1914,Aqua,MODIS,0,6.1NRT,281.49,12,D
50.35899,-120.74795,300.78,2.43,1.5,2024-02-09,2040,Aqua,MODIS,36,6.1NRT,265.82,36.33,D
50.35062,-120.78111,317.61,2.44,1.51,2024-02-09,2040,Aqua,MODIS,68,6.1NRT,265.11,79.61,D
52.72918,-116.57265,320.08,1.35,1.15,2024-02-09,2040,Aqua,MODIS,0,6.1NRT,264.8,37.75,D
52.73882,-116.57862,330.25,1.35,1.15,2024-02-09,2040,Aqua,MODIS,0,6.1NRT,265.88,54.14,D
53.91448,-115.64629,301.94,1.18,1.08,2024-02-09,2042,Aqua,MODIS,50,6.1NRT,266.81,12.18,D
42.80194,-80.10126,305.61,1.36,1.16,2024-02-10,1605,Terra,MODIS,0,6.1NRT,283.05,13.38,D
56.68209,-122.29578,310.92,1,1,2024-02-10,2122,Aqua,MODIS,71,6.1NRT,272.97,15.3,D
56.67981,-122.31172,350.51,1,1,2024-02-10,2122,Aqua,MODIS,96,6.1NRT,274.5,69.1,D
55.27308,-116.88577,306.41,1.01,1,2024-02-11,0453,Terra,MODIS,68,6.1NRT,268.76,13.37,N
55.37429,-117.02061,303.76,1.01,1,2024-02-11,0453,Terra,MODIS,57,6.1NRT,269.25,11.76,N
56.81488,-121.32899,310.53,1.06,1.03,2024-02-12,1900,Terra,MODIS,62,6.1NRT,269.03,15.83,D
56.81203,-121.31235,365.2,1.06,1.03,2024-02-12,1900,Terra,MODIS,100,6.1NRT,272.99,116.02,D
56.80563,-121.32271,314.11,1.06,1.03,2024-02-12,1900,Terra,MODIS,74,6.1NRT,268.54,20.36,D
56.80281,-121.30601,301.7,1.07,1.03,2024-02-12,1900,Terra,MODIS,49,6.1NRT,268.2,11.16,D
56.64019,-121.98021,310,1.04,1.02,2024-02-12,1900,Terra,MODIS,58,6.1NRT,269.55,14.62,D
56.63541,-122.00646,332.39,1.04,1.02,2024-02-12,1900,Terra,MODIS,88,6.1NRT,269.33,40.07,D
56.63274,-121.99022,318.62,1.04,1.02,2024-02-12,1900,Terra,MODIS,79,6.1NRT,269.74,23.62,D
51.09454,-121.63416,302.99,1.31,1.13,2024-02-12,2105,Aqua,MODIS,38,6.1NRT,271,13.89,D
51.10767,-121.62155,315.69,1.3,1.13,2024-02-12,2105,Aqua,MODIS,76,6.1NRT,271.48,27.82,D
52.27374,-115.89133,351.83,1.01,1,2024-02-12,2108,Aqua,MODIS,91,6.1NRT,272.89,72.98,D
51.78098,-120.84942,308.9,1.19,1.08,2024-02-12,2108,Aqua,MODIS,39,6.1NRT,268.52,18.76,D
51.66375,-121.52761,300.79,1.26,1.11,2024-02-12,2108,Aqua,MODIS,42,6.1NRT,269.92,13.53,D
51.66046,-121.54482,303.87,1.26,1.12,2024-02-12,2108,Aqua,MODIS,57,6.1NRT,269.73,16,D
52.71366,-116.59646,336.44,1,1,2024-02-12,2108,Aqua,MODIS,78,6.1NRT,268.18,42.57,D
52.7116,-116.61083,306.89,1,1,2024-02-12,2108,Aqua,MODIS,56,6.1NRT,268.75,11.94,D
52.72239,-116.59982,363.04,1,1,2024-02-12,2108,Aqua,MODIS,75,6.1NRT,272.65,99.84,D
52.72032,-116.61422,310.97,1,1,2024-02-12,2108,Aqua,MODIS,69,6.1NRT,270.8,14.9,D
54.52388,-112.29724,315.56,1.3,1.13,2024-02-12,2108,Aqua,MODIS,50,6.1NRT,271.49,27.32,D
54.52193,-112.31702,323.09,1.3,1.13,2024-02-12,2108,Aqua,MODIS,0,6.1NRT,272.61,37.67,D
54.57792,-112.37415,304.19,1.29,1.13,2024-02-12,2108,Aqua,MODIS,58,6.1NRT,271.31,15.59,D
55.57277,-118.49198,311.65,1,1,2024-02-12,2108,Aqua,MODIS,72,6.1NRT,272.76,14.68,D
55.5705,-118.5073,307.57,1,1,2024-02-12,2108,Aqua,MODIS,60,6.1NRT,272.49,11.85,D
55.58145,-118.49603,312.81,1,1,2024-02-12,2108,Aqua,MODIS,73,6.1NRT,272.56,15.47,D
55.57918,-118.51134,302.62,1,1,2024-02-12,2108,Aqua,MODIS,35,6.1NRT,272.83,8.75,D
55.88902,-120.50816,323.9,1.03,1.01,2024-02-12,2108,Aqua,MODIS,83,6.1NRT,273.98,27.73,D
56.62954,-122.00553,320.76,1.07,1.03,2024-02-12,2108,Aqua,MODIS,80,6.1NRT,272,26.5,D
56.80514,-121.3147,331.4,1.04,1.02,2024-02-12,2108,Aqua,MODIS,87,6.1NRT,273.14,38.01,D
56.80975,-121.30936,315.41,2.39,1.49,2024-02-13,1940,Terra,MODIS,76,6.1NRT,268.63,69.86,D
56.81373,-121.31346,310.28,2.39,1.49,2024-02-13,1940,Terra,MODIS,70,6.1NRT,268.7,55.88,D
56.47792,-122.61684,328.63,2.18,1.43,2024-02-13,1940,Terra,MODIS,86,6.1NRT,270.04,103.78,D
52.61954,-122.17715,331.73,3.16,1.68,2024-02-13,1942,Terra,MODIS,88,6.1NRT,267.99,190.85,D
52.60685,-122.13256,318.04,3.18,1.69,2024-02-13,1942,Terra,MODIS,78,6.1NRT,268.16,110.57,D
52.62113,-122.18387,321.58,3.16,1.68,2024-02-13,1942,Terra,MODIS,76,6.1NRT,267.63,134.98,D
52.60855,-122.13874,325.46,3.18,1.69,2024-02-13,1942,Terra,MODIS,79,6.1NRT,268.28,158.06,D
56.46726,-122.65789,303.77,3.75,1.81,2024-02-13,2012,Aqua,MODIS,57,6.1NRT,269.53,79.11,D
50.70905,-120.97589,309.52,1.35,1.15,2024-02-13,2146,Aqua,MODIS,54,6.1NRT,269.85,20.89,D
50.70845,-120.96375,306.44,1.35,1.15,2024-02-13,2146,Aqua,MODIS,37,6.1NRT,269.95,17.33,D
50.70658,-120.98304,303.33,1.35,1.15,2024-02-13,2146,Aqua,MODIS,21,6.1NRT,269.87,14.51,D
52.61913,-122.17426,335.61,1.28,1.12,2024-02-13,2146,Aqua,MODIS,78,6.1NRT,268.32,59.73,D
56.47889,-122.6138,319.66,1.39,1.17,2024-02-13,2148,Aqua,MODIS,80,6.1NRT,271.48,35.07,D
56.47672,-122.6367,345.88,1.39,1.17,2024-02-13,2148,Aqua,MODIS,94,6.1NRT,272.45,94.24,D
56.4839,-122.62107,329.05,1.39,1.17,2024-02-13,2148,Aqua,MODIS,86,6.1NRT,272.42,52.03,D
56.48177,-122.64465,322.79,1.39,1.17,2024-02-13,2148,Aqua,MODIS,82,6.1NRT,272.53,40.41,D
56.8103,-121.31151,346.35,1.58,1.24,2024-02-13,2148,Aqua,MODIS,94,6.1NRT,273.25,117.87,D
51.10939,-121.62849,300.8,1.95,1.36,2024-02-14,2050,Aqua,MODIS,31,6.1NRT,266.2,25.08,D
51.11364,-121.63756,304.27,1.95,1.36,2024-02-14,2050,Aqua,MODIS,0,6.1NRT,265.68,27.79,D
56.479,-122.62384,341.34,1.47,1.2,2024-02-14,2053,Aqua,MODIS,87,6.1NRT,269.36,89.94,D
56.48908,-122.6305,361.32,1.47,1.2,2024-02-14,2053,Aqua,MODIS,94,6.1NRT,270.66,168.65,D
56.4847,-122.65073,300.84,1.47,1.2,2024-02-14,2053,Aqua,MODIS,29,6.1NRT,267.6,16.13,D
56.49228,-122.63162,310.09,3.9,1.84,2024-02-14,2229,Aqua,MODIS,70,6.1NRT,268.65,111.68,D
56.48315,-122.64229,310.97,3.9,1.84,2024-02-14,2229,Aqua,MODIS,71,6.1NRT,269.08,116.72,D
56.56001,-122.58175,310.54,1.47,1.2,2024-02-15,1923,Terra,MODIS,61,6.1NRT,265.56,28.24,D
50.18177,-121.11587,300.74,1.02,1.01,2024-02-15,2131,Aqua,MODIS,41,6.1NRT,272.98,9.58,D
56.57291,-122.55946,317.13,1.07,1.03,2024-02-15,2131,Aqua,MODIS,77,6.1NRT,269,22.08,D
56.57075,-122.57667,317.72,1.07,1.03,2024-02-15,2131,Aqua,MODIS,65,6.1NRT,269.04,21.06,D
56.56861,-122.59372,379.41,1.07,1.03,2024-02-15,2131,Aqua,MODIS,100,6.1NRT,273.46,169.55,D
56.5665,-122.61053,323.9,1.06,1.03,2024-02-15,2131,Aqua,MODIS,44,6.1NRT,269.4,26.15,D
56.5792,-122.63939,344.39,1.06,1.03,2024-02-15,2131,Aqua,MODIS,94,6.1NRT,271.8,62.16,D
56.5771,-122.65628,320.79,1.06,1.03,2024-02-15,2131,Aqua,MODIS,80,6.1NRT,270,26.24,D
50.25319,-121.47734,312.8,1.14,1.07,2024-02-16,1102,Aqua,MODIS,80,6.1NRT,266.74,22,N
54.86597,-108.30803,330,1.62,1.25,2024-02-16,1828,Terra,MODIS,87,6.1NRT,269.23,70.14,D
54.87117,-108.33168,363.06,1.62,1.25,2024-02-16,1828,Terra,MODIS,100,6.1NRT,271.61,203.43,D
52.02072,-115.05286,337.27,1.09,1.04,2024-02-16,1828,Terra,MODIS,0,6.1NRT,268.93,51.42,D
53.23718,-115.17793,312.74,1.33,1.14,2024-02-16,2036,Aqua,MODIS,63,6.1NRT,270.28,25.76,D
54.8704,-108.33814,361.53,1.03,1.01,2024-02-16,2036,Aqua,MODIS,100,6.1NRT,273.21,98.28,D
54.88134,-108.32607,309.73,1.03,1.01,2024-02-16,2036,Aqua,MODIS,42,6.1NRT,268.11,13.88,D
54.87926,-108.34169,371.26,1.03,1.01,2024-02-16,2036,Aqua,MODIS,100,6.1NRT,272.46,130.64,D
52.65154,-122.12527,305.92,2.76,1.59,2024-02-16,2036,Aqua,MODIS,62,6.1NRT,266.6,56.01,D
57.81931,-116.83229,362.33,1.19,1.09,2024-02-16,2038,Aqua,MODIS,87,6.1NRT,274.07,126.83,D
57.81916,-116.84214,328.37,1.53,1.22,2024-02-17,1906,Terra,MODIS,81,6.1NRT,269.83,60.23,D
57.81396,-116.81857,349.7,1.53,1.22,2024-02-17,1906,Terra,MODIS,83,6.1NRT,271.47,126.2,D
56.56263,-122.59795,376.24,1.09,1.04,2024-02-17,1906,Terra,MODIS,100,6.1NRT,277.47,162.75,D
56.55965,-122.58093,361.67,1.09,1.04,2024-02-17,1906,Terra,MODIS,100,6.1NRT,275.27,108.81,D
57.80795,-116.84503,317.16,3.92,1.84,2024-02-17,1938,Aqua,MODIS,59,6.1NRT,270.68,145.4,D
57.81341,-116.85332,302.95,3.92,1.84,2024-02-17,1938,Aqua,MODIS,41,6.1NRT,270.08,72.75,D
49.61577,-114.47719,308.56,1.15,1.07,2024-02-17,2114,Aqua,MODIS,51,6.1NRT,269.78,17.6,D
49.61393,-114.49301,306.48,1.15,1.07,2024-02-17,2114,Aqua,MODIS,55,6.1NRT,269.74,15.95,D
53.68741,-115.75926,328.3,1.17,1.08,2024-02-17,2116,Aqua,MODIS,58,6.1NRT,276.03,36.36,D
53.68545,-115.77659,317.77,1.17,1.07,2024-02-17,2116,Aqua,MODIS,39,6.1NRT,275.17,22.7,D
53.69884,-115.74498,312.84,1.17,1.08,2024-02-17,2116,Aqua,MODIS,49,6.1NRT,275.28,17.93,D
53.69688,-115.76233,309.28,1.17,1.08,2024-02-17,2116,Aqua,MODIS,40,6.1NRT,274.07,14.75,D
56.56011,-122.57552,303.17,1.01,1.01,2024-02-17,2116,Aqua,MODIS,55,6.1NRT,274.6,9.63,D
56.55762,-122.59126,351.2,1.01,1.01,2024-02-17,2116,Aqua,MODIS,96,6.1NRT,277.73,70.66,D
56.56131,-122.62708,359.97,1.01,1.01,2024-02-17,2116,Aqua,MODIS,99,6.1NRT,276.91,90.35,D
56.55882,-122.64279,359.23,1.01,1.01,2024-02-17,2116,Aqua,MODIS,99,6.1NRT,276.13,89.65,D
56.55629,-122.65873,320.29,1.01,1.01,2024-02-17,2116,Aqua,MODIS,80,6.1NRT,275.08,22.64,D
56.76472,-121.35656,315.74,1,1,2024-02-17,2116,Aqua,MODIS,76,6.1NRT,277.21,18.6,D
56.77338,-121.36082,302.14,1,1,2024-02-17,2116,Aqua,MODIS,44,6.1NRT,272.85,8.63,D
57.8109,-116.8183,315.9,1.22,1.1,2024-02-17,2116,Aqua,MODIS,61,6.1NRT,273.61,23.34,D
57.80877,-116.83838,309.7,1.22,1.1,2024-02-17,2116,Aqua,MODIS,56,6.1NRT,273.16,17.27,D
57.81843,-116.84195,314.21,1.22,1.1,2024-02-17,2116,Aqua,MODIS,61,6.1NRT,273.07,21.41,D
56.56296,-122.64117,313.92,1.6,1.24,2024-02-18,0442,Terra,MODIS,88,6.1NRT,267.94,36.59,N
56.56493,-122.64088,361.07,2.14,1.42,2024-02-18,1808,Terra,MODIS,100,6.1NRT,271.45,288.61,D
56.56324,-122.60884,305.13,2.13,1.42,2024-02-18,1808,Terra,MODIS,61,6.1NRT,268.37,36.38,D
56.57367,-122.64149,331.42,2.51,1.52,2024-02-18,1946,Terra,MODIS,87,6.1NRT,272.79,135.43,D
56.56321,-122.60275,307.68,2.52,1.53,2024-02-18,1946,Terra,MODIS,66,6.1NRT,271.86,48.32,D
56.56734,-122.6549,327.84,2.51,1.52,2024-02-18,1946,Terra,MODIS,85,6.1NRT,272.89,115.36,D
56.55717,-122.6166,322.6,2.52,1.53,2024-02-18,1946,Terra,MODIS,82,6.1NRT,272.31,93.27,D
56.5525,-122.65023,329.37,3.02,1.65,2024-02-18,2021,Aqua,MODIS,86,6.1NRT,273.71,165.52,D
56.56536,-122.61584,305.98,3,1.65,2024-02-18,2021,Aqua,MODIS,63,6.1NRT,273.13,59.23,D
56.55253,-122.65891,324.7,3.02,1.65,2024-02-18,2021,Aqua,MODIS,83,6.1NRT,273.75,138.74,D
52.58278,-122.15896,320.84,1.61,1.25,2024-02-18,2157,Aqua,MODIS,80,6.1NRT,271.23,44.86,D
52.58062,-122.18426,358.58,1.6,1.25,2024-02-18,2157,Aqua,MODIS,99,6.1NRT,274.42,173.33,D
52.58348,-122.16698,337.71,1.61,1.25,2024-02-18,2157,Aqua,MODIS,91,6.1NRT,272.12,85.41,D
52.58151,-122.19159,334.44,1.6,1.25,2024-02-18,2157,Aqua,MODIS,89,6.1NRT,273.77,75.3,D
56.55391,-122.41372,301.75,1.77,1.3,2024-02-18,2159,Aqua,MODIS,49,6.1NRT,273.07,21.34,D
56.55054,-122.4211,304.77,1.77,1.3,2024-02-18,2159,Aqua,MODIS,60,6.1NRT,273.19,24.08,D
56.55943,-122.62755,308.04,1.73,1.29,2024-02-18,2159,Aqua,MODIS,66,6.1NRT,274.82,28.12,D
56.55742,-122.65546,314.74,1.73,1.29,2024-02-18,2159,Aqua,MODIS,75,6.1NRT,275.27,39.1,D
52.59176,-122.18073,306.55,1,1,2024-02-19,0520,Terra,MODIS,46,6.1NRT,267.8,13.73,N
54.508,-106.95643,313.17,1.86,1.33,2024-02-19,2059,Aqua,MODIS,48,6.1NRT,268.12,43.83,D
54.51003,-106.92793,351.74,1.87,1.34,2024-02-19,2059,Aqua,MODIS,84,6.1NRT,270.47,179.83,D
54.50266,-106.93143,338.83,1.87,1.34,2024-02-19,2059,Aqua,MODIS,79,6.1NRT,269.84,113.49,D
54.50076,-106.95999,325.2,1.86,1.33,2024-02-19,2059,Aqua,MODIS,54,6.1NRT,268.73,66.45,D
53.83235,-115.81905,303.16,1,1,2024-02-19,2059,Aqua,MODIS,48,6.1NRT,272.97,10.1,D
53.8302,-115.83376,317.44,1,1,2024-02-19,2059,Aqua,MODIS,67,6.1NRT,273.81,20.44,D
55.53965,-120.11382,304.94,1.09,1.04,2024-02-19,2101,Aqua,MODIS,60,6.1NRT,270.54,11.04,D
54.51341,-106.94073,326.63,1.02,1.01,2024-02-20,1751,Terra,MODIS,73,6.1NRT,266.28,31.88,D
54.5047,-106.94473,328.9,1.02,1.01,2024-02-20,1751,Terra,MODIS,0,6.1NRT,265.49,34.43,D
43.07549,-82.06718,306.11,2.41,1.5,2024-02-20,1821,Aqua,MODIS,63,6.1NRT,283.62,31.2,D
54.50702,-106.9332,315.13,1.22,1.1,2024-02-20,2004,Aqua,MODIS,54,6.1NRT,269.36,23.76,D
54.50356,-106.9511,357.43,1.22,1.1,2024-02-20,2004,Aqua,MODIS,65,6.1NRT,271.91,112.62,D
54.50009,-106.96902,336.09,1.23,1.1,2024-02-20,2004,Aqua,MODIS,0,6.1NRT,271.08,53.6,D
54.51291,-106.95647,306.47,1.22,1.1,2024-02-20,2004,Aqua,MODIS,31,6.1NRT,270.12,14.8,D
55.3149,-127.68104,305.47,1,1,2024-02-20,2142,Aqua,MODIS,61,6.1NRT,275.18,11.27,D
57.94867,-117.49326,325.45,1.01,1,2024-02-21,1832,Terra,MODIS,84,6.1NRT,267.73,29.72,D
55.22751,-117.14428,319.05,1.01,1,2024-02-21,1832,Terra,MODIS,75,6.1NRT,271.8,21.11,D
55.22516,-117.12904,317.56,1.01,1,2024-02-21,1832,Terra,MODIS,68,6.1NRT,271.65,19.87,D
55.60134,-122.20114,328.81,1.17,1.08,2024-02-21,1832,Terra,MODIS,86,6.1NRT,273.51,40.93,D
42.56344,-82.52511,300.54,1,1,2024-02-21,1902,Aqua,MODIS,17,6.1NRT,279.47,4.26,D
54.59507,-113.43928,302.83,1.01,1,2024-02-21,2044,Aqua,MODIS,51,6.1NRT,272.97,9.89,D
55.60517,-122.19188,307.14,1.74,1.29,2024-02-21,2044,Aqua,MODIS,65,6.1NRT,273.05,28.02,D
55.59865,-122.21983,309.72,1.75,1.3,2024-02-21,2044,Aqua,MODIS,69,6.1NRT,274.53,32.02,D
57.05069,-111.61741,318.26,1.26,1.12,2024-02-22,0406,Terra,MODIS,97,6.1NRT,270.63,30.81,N
57.04692,-111.63695,316.77,1.27,1.12,2024-02-22,0406,Terra,MODIS,94,6.1NRT,269.78,29.4,N
54.99709,-107.32094,360.35,1.12,1.05,2024-02-22,1734,Terra,MODIS,100,6.1NRT,272.68,107.99,D
54.99512,-107.30388,345.3,1.12,1.05,2024-02-22,1734,Terra,MODIS,94,6.1NRT,272.32,66.91,D
54.98586,-107.30698,313.79,1.12,1.05,2024-02-22,1734,Terra,MODIS,53,6.1NRT,270.63,20.21,D
54.96095,-108.17789,300.65,1.18,1.08,2024-02-22,1734,Terra,MODIS,38,6.1NRT,271.17,10.85,D
52.01997,-124.27079,303.69,1.32,1.14,2024-02-22,1914,Terra,MODIS,0,6.1NRT,269.59,15.8,D
54.96523,-108.15313,317.46,1.88,1.34,2024-02-22,1946,Aqua,MODIS,64,6.1NRT,273.58,51.4,D
54.99141,-107.3103,318.74,1.73,1.29,2024-02-22,1946,Aqua,MODIS,0,6.1NRT,273.24,45.17,D
54.95879,-108.18018,334.03,1.89,1.34,2024-02-22,1946,Aqua,MODIS,63,6.1NRT,274.82,99.61,D
54.97025,-108.16455,301.62,1.88,1.34,2024-02-22,1946,Aqua,MODIS,48,6.1NRT,273.21,20.82,D
51.87914,-124.35443,325.8,1.09,1.04,2024-02-22,2125,Aqua,MODIS,84,6.1NRT,272.49,33.31,D
50.93032,-121.36437,316.29,1,1,2024-02-22,2125,Aqua,MODIS,77,6.1NRT,274.37,19.02,D
55.10901,-120.28374,355.42,1.01,1,2024-02-23,1055,Aqua,MODIS,100,6.1NRT,271.99,80.89,N
50.42289,-120.78371,303.57,1.26,1.12,2024-02-23,1817,Terra,MODIS,56,6.1NRT,274.26,14.06,D
54.496,-107.22556,326.43,1.01,1.01,2024-02-23,2029,Aqua,MODIS,55,6.1NRT,275.62,27.65,D
54.95915,-108.1658,307.93,1,1,2024-02-23,2029,Aqua,MODIS,44,6.1NRT,275.57,12.28,D
54.95696,-108.18093,318.73,1,1,2024-02-23,2029,Aqua,MODIS,52,6.1NRT,276.28,20.84,D
55.10156,-120.30446,325.23,4.79,2,2024-02-24,0349,Terra,MODIS,100,6.1NRT,267.97,270.55,N
55.11678,-120.32048,307.01,4.79,2,2024-02-24,0349,Terra,MODIS,51,6.1NRT,267.51,127.91,N
55.10101,-120.31102,327.15,4.79,2,2024-02-24,0349,Terra,MODIS,100,6.1NRT,268.22,295.9,N
55.10978,-120.30697,358.39,1.22,1.1,2024-02-24,0527,Terra,MODIS,100,6.1NRT,272.45,117.66,N
55.12136,-120.29107,343.74,1.22,1.1,2024-02-24,0527,Terra,MODIS,100,6.1NRT,269.53,74.85,N
55.11945,-120.30992,322.8,1.22,1.1,2024-02-24,0527,Terra,MODIS,100,6.1NRT,268.87,35,N
55.11168,-120.28815,386.6,1.22,1.1,2024-02-24,0527,Terra,MODIS,100,6.1NRT,277.31,253.19,N
55.11273,-120.30136,307.79,2.86,1.61,2024-02-24,1000,Aqua,MODIS,57,6.1NRT,265.11,62.67,N
55.11012,-120.26562,308.99,2.84,1.61,2024-02-24,1000,Aqua,MODIS,64,6.1NRT,265.71,70.14,N
49.0141,-96.01071,304.15,1.45,1.19,2024-02-24,1719,Terra,MODIS,58,6.1NRT,274.03,18.08,D
49.75262,-98.41814,301.37,1.16,1.07,2024-02-25,2012,Aqua,MODIS,46,6.1NRT,278.25,8.9,D
42.80674,-80.10829,301.17,1.39,1.17,2024-02-26,1912,Aqua,MODIS,34,6.1NRT,284.76,7.74,D
